feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	method
Acholeplasmataceae	Timepoint	treatment	0.30712832	0.247429874	12	4	0.269560886	0.717988017	StrainID
Acidaminococcaceae	Timepoint	treatment	-0.179182666	0.148193381	12	9	0.280669221	0.717988017	StrainID
Actinomycetaceae	Timepoint	treatment	-0.347207042	0.164686663	12	12	0.088814419	0.717988017	StrainID
Akkermansiaceae	Timepoint	treatment	0.451710265	0.256353349	12	12	0.138355436	0.717988017	StrainID
Bacilli.unclassified	Timepoint	treatment	0.29016611	0.171484136	12	4	0.121502314	0.717988017	StrainID
Barnesiellaceae	Timepoint	treatment	-0.050171666	0.050171666	12	1	0.340893536	0.717988017	StrainID
Brucellaceae	Timepoint	treatment	-0.050171666	0.050171665	12	1	0.340894915	0.717988017	StrainID
Burkholderiaceae	Timepoint	treatment	-0.307035108	0.278890092	12	6	0.321087236	0.717988017	StrainID
Caldicoprobacteraceae	Timepoint	treatment	0.651772347	0.293624516	12	8	0.077152721	0.717988017	StrainID
Carnobacteriaceae	Timepoint	treatment	-0.294861633	0.251613014	12	9	0.294038592	0.717988017	StrainID
Christensenellaceae	Timepoint	treatment	0.556401869	0.226548096	12	11	0.057510677	0.717988017	StrainID
Clostridiaceae	Timepoint	treatment	0.217136169	0.203263334	12	12	0.334245791	0.717988017	StrainID
Comamonadaceae	Timepoint	treatment	-0.201024096	0.12394946	12	5	0.165767942	0.717988017	StrainID
Coriobacteriaceae	Timepoint	treatment	0.2747972	0.14977516	12	9	0.125998478	0.717988017	StrainID
Coriobacteriia.unclassified	Timepoint	treatment	-0.050171666	0.050171665	12	1	0.340894915	0.717988017	StrainID
Eggerthellaceae	Timepoint	treatment	0.263700265	0.227522973	12	12	0.298794043	0.717988017	StrainID
Enterococcaceae	Timepoint	treatment	0.238256478	0.213358825	12	11	0.314893965	0.717988017	StrainID
Entomoplasmatales.unclassified	Timepoint	treatment	0.050171666	0.050171666	12	1	0.340893451	0.717988017	StrainID
Eubacteriaceae	Timepoint	treatment	0.214065253	0.167946812	12	12	0.258470769	0.717988017	StrainID
Fusobacteriaceae	Timepoint	treatment	-0.296726881	0.229434775	12	10	0.252434081	0.717988017	StrainID
Geobacteraceae	Timepoint	treatment	0.105333325	0.066728706	12	2	0.165544855	0.717988017	StrainID
Gottschalkiaceae	Timepoint	treatment	-0.072815781	0.05074953	12	3	0.210810084	0.717988017	StrainID
Lachnospiraceae	Timepoint	treatment	-0.153951671	0.055308341	12	12	0.038740589	0.717988017	StrainID
Leptotrichiaceae	Timepoint	treatment	-0.050171666	0.050171665	12	1	0.34089677	0.717988017	StrainID
Listeriaceae	Timepoint	treatment	0.44426098	0.302388912	12	4	0.201729609	0.717988017	StrainID
Micrococcaceae	Timepoint	treatment	-0.425965745	0.216828979	12	5	0.077849326	0.717988017	StrainID
Micromonosporaceae	Timepoint	treatment	0.136396303	0.136396303	12	2	0.363217467	0.717988017	StrainID
Mollicutes.unclassified	Timepoint	treatment	0.461573454	0.334380088	12	3	0.197541427	0.717988017	StrainID
Mycoplasmataceae	Timepoint	treatment	0.440642533	0.321377161	12	5	0.228679621	0.717988017	StrainID
Neisseriaceae	Timepoint	treatment	-0.165051023	0.115797182	12	2	0.184514506	0.717988017	StrainID
Odoribacteraceae	Timepoint	treatment	-0.396311971	0.25967275	12	7	0.187484699	0.717988017	StrainID
Oscillospiraceae	Timepoint	treatment	0.713527615	0.394850685	12	11	0.13056183	0.717988017	StrainID
Peptococcaceae	Timepoint	treatment	0.20486656	0.154021895	12	9	0.240922365	0.717988017	StrainID
Porphyromonadaceae	Timepoint	treatment	0.358943496	0.124593814	12	6	0.034551379	0.717988017	StrainID
Pseudanabaenaceae	Timepoint	treatment	0.269257179	0.175571799	12	3	0.185708327	0.717988017	StrainID
Spiroplasmataceae	Timepoint	treatment	0.663326165	0.575496513	12	11	0.301178126	0.717988017	StrainID
Sterolibacteriaceae	Timepoint	treatment	-0.050171666	0.050171666	12	1	0.340893132	0.717988017	StrainID
Syntrophomonadaceae	Timepoint	treatment	0.106136271	0.106136271	12	2	0.363217467	0.717988017	StrainID
Thermoactinomycetaceae	Timepoint	treatment	-0.272266511	0.208854368	12	5	0.249156013	0.717988017	StrainID
Thermoanaerobacterales.Family.IV	Timepoint	treatment	0.238043428	0.187514174	12	5	0.260151146	0.717988017	StrainID
Tissierellaceae	Timepoint	treatment	0.10903226	0.069283848	12	2	0.166632126	0.717988017	StrainID
Xanthomonadaceae	Timepoint	treatment	-0.508014986	0.268105082	12	6	0.116633837	0.717988017	StrainID
Zoogloeaceae	Timepoint	treatment	-0.109374732	0.109374731	12	2	0.363217467	0.717988017	StrainID
Alcaligenaceae	Timepoint	treatment	-0.061647163	0.07053733	12	3	0.422121777	0.718286701	StrainID
Bifidobacteriaceae	Timepoint	treatment	-0.129188186	0.153598989	12	12	0.438666858	0.718286701	StrainID
Clostridiales.Family.XIII	Timepoint	treatment	0.192204943	0.228515054	12	12	0.438651738	0.718286701	StrainID
Hungateiclostridiaceae	Timepoint	treatment	0.235346778	0.263409858	12	9	0.412544331	0.718286701	StrainID
Oxalobacteraceae	Timepoint	treatment	-0.087464156	0.090039942	12	3	0.375966621	0.718286701	StrainID
Pasteurellaceae	Timepoint	treatment	-0.241243201	0.299601658	12	4	0.439422452	0.718286701	StrainID
Planococcaceae	Timepoint	treatment	0.144654235	0.154311328	12	4	0.39157926	0.718286701	StrainID
Sporomusaceae	Timepoint	treatment	0.205668045	0.23419257	12	6	0.420026656	0.718286701	StrainID
Streptococcaceae	Timepoint	treatment	-0.373418449	0.414070025	12	12	0.388354958	0.718286701	StrainID
Firmicutes.unclassified	Timepoint	treatment	0.145692821	0.178446376	12	12	0.451372537	0.723899352	StrainID
Bacillaceae	Timepoint	treatment	-0.24565328	0.382271306	12	11	0.548777191	0.746165325	StrainID
Bacteroidaceae	Timepoint	treatment	0.291765384	0.424787198	12	12	0.522728341	0.746165325	StrainID
Betaproteobacteria.unclassified	Timepoint	treatment	-0.098621955	0.15702464	12	2	0.544036271	0.746165325	StrainID
Catabacteriaceae	Timepoint	treatment	0.205240083	0.277036765	12	6	0.492093404	0.746165325	StrainID
Chromobacteriaceae	Timepoint	treatment	-0.098621955	0.15702464	12	2	0.544036271	0.746165325	StrainID
Corynebacteriaceae	Timepoint	treatment	-0.192077667	0.312824639	12	4	0.552919449	0.746165325	StrainID
Muribaculaceae	Timepoint	treatment	-0.194933448	0.286546064	12	4	0.526540211	0.746165325	StrainID
Peptoniphilaceae	Timepoint	treatment	0.152462462	0.20325527	12	12	0.486967254	0.746165325	StrainID
Pseudomonadaceae	Timepoint	treatment	-0.111617713	0.158795871	12	4	0.498154324	0.746165325	StrainID
Rikenellaceae	Timepoint	treatment	0.318940761	0.501866909	12	10	0.553040182	0.746165325	StrainID
Bacillales.unclassified	Timepoint	treatment	-0.078983586	0.13855784	12	2	0.581230212	0.749312943	StrainID
Bacteroidales.unclassified	Timepoint	treatment	-0.078717264	0.138309625	12	2	0.581819462	0.749312943	StrainID
Enterobacteriaceae	Timepoint	treatment	0.11046402	0.185931983	12	12	0.57829746	0.749312943	StrainID
Burkholderiales.unclassified	Timepoint	treatment	-0.155920656	0.281312517	12	7	0.603275805	0.765349902	StrainID
Veillonellaceae	Timepoint	treatment	-0.11970428	0.244158311	12	12	0.644695714	0.805869643	StrainID
Lactobacillaceae	Timepoint	treatment	0.124679891	0.265609848	12	12	0.658534084	0.81123764	StrainID
Prevotellaceae	Timepoint	treatment	-0.146600312	0.332865733	12	11	0.678022542	0.811717128	StrainID
Selenomonadaceae	Timepoint	treatment	0.130597858	0.287616976	12	11	0.668809897	0.811717128	StrainID
Clostridiales.unclassified	Timepoint	treatment	0.065579819	0.171373009	12	11	0.717689563	0.83566593	StrainID
Paenibacillaceae	Timepoint	treatment	0.073089276	0.188856573	12	9	0.714673313	0.83566593	StrainID
Erysipelotrichaceae	Timepoint	treatment	-0.04898932	0.149233472	12	12	0.756006843	0.857084206	StrainID
Ruminococcaceae	Timepoint	treatment	0.061682268	0.188095543	12	12	0.75625077	0.857084206	StrainID
Aerococcaceae	Timepoint	treatment	-0.047932917	0.165633883	12	3	0.778193383	0.864182493	StrainID
